planet_name,actual_radius,actual_mass,actual_temp,actual_esi,actual_habitability,predicted_mass,predicted_temp,predicted_esi,predicted_habitability,mass_error,temp_error,esi_error
HATS-22 b,0.953,2.74,858.0,0.7442070431844878,Moderate,0.8911933416195891,865.8523583873213,0.8466528997715366,High,1.8488066583804112,-7.85235838732126,-0.10244585658704874
HATS-23 b,1.86,1.47,1654.0,0.6092698816704019,Moderate,2.163548414877807,1656.5799591792997,0.5754062324551096,Moderate,-0.6935484148778068,-2.579959179299749,0.03386364921529228
HATS-24 b,1.487,2.44,2067.0,0.5882564144923612,Moderate,1.9238988744978514,2172.616715987444,0.6053313430534057,Moderate,0.5161011255021486,-105.61671598744397,-0.017074928561044533
HATS-31 b,1.64,0.88,1823.0,0.6484422700790311,Moderate,2.1408197767469956,1763.011970006368,0.5968713347337897,Moderate,-1.2608197767469957,59.988029993631926,0.051570935345241375
HATS-32 b,1.249,0.92,1437.0,0.7437527789335308,Moderate,1.5687357274676734,1409.2903457043715,0.7113573242070044,Moderate,-0.6487357274676734,27.709654295628525,0.032395454726526385
HATS-33 b,1.23,1.192,1429.0,0.7396518294841921,Moderate,1.5073020752485813,1455.6712735584526,0.7149312272686051,Moderate,-0.31530207524858134,-26.67127355845264,0.024720602215586918
HATS-34 b,1.43,0.941,1445.0,0.7129071082097975,Moderate,1.5669814244817672,1403.0592283984465,0.6812616256480445,Moderate,-0.6259814244817673,41.94077160155348,0.031645482561753036
HATS-35 b,1.464,1.222,2037.0,0.6555979218054917,Moderate,2.026630727086269,2039.6255435388907,0.610477973436795,Moderate,-0.8046307270862689,-2.6255435388907244,0.045119948368696705
HATS-36 b,1.153,2.79,1203.0,0.6843698198085877,Moderate,1.4805493165184433,1414.903359240455,0.7346650616218071,Moderate,1.3094506834815567,-211.90335924045507,-0.05029524181321943
HATS-37 Ab,0.606,0.099,1085.0,0.4826979436821254,Low,0.6674723293616537,1052.3620801527875,0.6835096793760073,Moderate,-0.5684723293616537,32.637919847212515,-0.2008117356938819
HATS-38 b,0.614,0.074,1294.0,0.4432109355864018,Low,0.7304886245187082,1279.983080316661,0.6736641882167389,Moderate,-0.6564886245187083,14.016919683338983,-0.2304532526303371
HATS-39 b,1.57,0.63,1645.0,0.6412766392005416,Moderate,2.198615929982036,1774.7706085011696,0.6028581603420375,Moderate,-1.5686159299820361,-129.7706085011696,0.038418478858504024
HATS-3 b,1.381,1.071,1648.0,0.7047793073385645,Moderate,1.8216745783400183,1714.0246959864119,0.6519963416294077,Moderate,-0.7506745783400184,-66.02469598641187,0.05278296570915686
HATS-40 b,1.58,1.59,2100.0,0.6132244333569881,Moderate,2.4219229905901747,1718.8770846865882,0.5955235669782355,Moderate,-0.8319229905901746,381.1229153134118,0.017700866378752567
HATS-41 b,1.33,9.7,1710.0,0.48600221945540106,Low,2.1135215215227587,1692.939982013601,0.6466859479805585,Moderate,7.5864784784772406,17.06001798639909,-0.1606837285251574
HATS-42 b,1.4,1.88,1856.0,0.6372104024701785,Moderate,1.9150293706042247,1755.6985085739414,0.6415593590241351,Moderate,-0.03502937060422484,100.30149142605865,-0.004348956553956618
HATS-47 b,1.117,0.369,852.9,0.7325568930989413,Moderate,0.9433695633919533,815.1782935870258,0.8443598015891477,High,-0.5743695633919533,37.721706412974186,-0.11180290849020635
HATS-48 Ab,0.8,0.243,954.6,0.6460397960778909,Moderate,0.711988646132277,962.5145378678841,0.7675564263005115,Moderate,-0.468988646132277,-7.914537867884064,-0.1215166302226206
HATS-49 b,0.765,0.353,834.8,0.694512769079385,Moderate,0.6621449712477264,782.9821221515089,0.7727872444332107,Moderate,-0.30914497124772644,51.817877848491094,-0.0782744753538257
HATS-4 b,1.02,1.323,1315.0,0.7828529454105985,Moderate,1.2396841690455656,1294.0325721146828,0.7915387286370568,Moderate,0.0833158309544344,20.967427885317193,-0.008685783226458299
